ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
75,34,y,n,31.260929,-84.465334,6/4/2015 12:50,3463702.832,169988.931,8.412397364,Joseph_Road,23.9235,pre-burn
76,27,y,y,31.261997,-84.466366,6/4/2015 14:06,3463824.329,169894.355,10.09090263,Joseph_Road,27.1572,pre-burn
77,25,y,n,31.261751,-84.465192,6/4/2015 14:37,3463793.583,170005.302,5.836102635,Joseph_Road,16.8859,pre-burn
78,32,y,n,31.261697,-84.465951,6/4/2015 14:41,3463789.815,169932.775,9.604302634,Joseph_Road,22.171,pre-burn
79,25,y,n,31.258034,-84.464299,6/4/2015 9:22,3463378.596,170077.482,0.823202636,Joseph_Road,9.90911,pre-burn
80,46,y,y,31.25805,-84.464485,6/4/2015 9:26,3463380.876,170059.757,1.456297364,Joseph_Road,5.0891,pre-burn
81,33,y,n,31.258391,-84.464696,6/4/2015 9:32,3463419.404,170040.876,4.984097367,Joseph_Road,9.95752,pre-burn
82,37,y,y,31.259679,-84.465376,6/4/2015 10:50,3463564.225,169980.609,9.805797365,Joseph_Road,23.7301,pre-burn
83,26,y,b,31.260006,-84.465618,6/4/2015 11:08,3463601.294,169958.617,11.87469736,Joseph_Road,15.7279,pre-burn
84,33,y,y,31.259951,-84.465648,6/4/2015 11:12,3463595.221,169955.624,5.801397365,Joseph_Road,15.1051,pre-burn
85,31,y,n,31.259819,-84.465926,6/4/2015 11:19,3463581.471,169928.665,7.948902635,Joseph_Road,11.5372,pre-burn
86,8,y,n,31.26029,-84.466185,6/4/2015 11:26,3463634.438,169905.628,10.01799737,Joseph_Road,7.3461,pre-burn
87,43,y,u,31.260334,-84.466021,6/4/2015 11:28,3463638.915,169921.394,14.49579737,Joseph_Road,12.9379,pre-burn
88,34,n,u,31.260228,-84.465635,6/4/2015 11:31,3463625.922,169957.769,1.502697365,Joseph_Road,16.4658,pre-burn
89,39,y,y,31.26008,-84.378414,6/8/2015 14:52,3463351.651,178268.088,7.231597362,Fourth_July_Block,13.374,pre-burn
90,32,y,y,31.259885,-84.379858,6/8/2015 15:00,3463334.282,178129.852,10.13740264,Fourth_July_Block,10.7843,pre-burn
91,34,y,n,31.259953,-84.380619,6/8/2015 15:05,3463343.978,178057.571,0.441102637,Fourth_July_Block,14.6262,pre-burn
92,43,y,n,31.259936,-84.381007,6/8/2015 15:08,3463343.2,178020.586,1.219502637,Fourth_July_Block,15.5035,pre-burn
93,36,y,y,31.260119,-84.381424,6/8/2015 15:13,3463364.735,177981.452,20.31589736,Fourth_July_Block,34.9299,pre-burn
94,32,y,n,31.258181,-84.378818,6/7/2015 13:51,3463142.149,178223.182,7.780542089,Fourth_July_Block,15.4047,pre-burn
